Horas,Previsión,Viento,Rachas,Lluvias,Nieve,Nubes,Prob. de Tormenta
07:00,12,5,7,0 mm,0 cm,7 %,0 %
08:00,13,3,5,0 mm,0 cm,7 %,0 %
09:00,15,2,3,0 mm,0 cm,0 %,0 %
10:00,17,4,6,0 mm,0 cm,0 %,0 %
11:00,20,2,4,0 mm,0 cm,0 %,0 %
12:00,22,5,7,0 mm,0 cm,4 %,0 %
13:00,24,4,6,0 mm,0 cm,4 %,0 %
14:00,26,4,6,0 mm,0 cm,4 %,0 %
15:00,27,5,8,0 mm,0 cm,63 %,0 %
16:00,28,7,11,0 mm,0 cm,63 %,0 %
17:00,29,4,6,0 mm,0 cm,63 %,0 %
18:00,29,9,13,0 mm,0 cm,0 %,0 %
19:00,29,9,14,0 mm,0 cm,0 %,0 %
20:00,29,4,6,0 mm,0 cm,0 %,0 %
21:00,26,8,13,0 mm,0 cm,0 %,0 %
22:00,23,10,15,0 mm,0 cm,0 %,0 %
23:00,23,4,6,0 mm,0 cm,0 %,0 %
